label,pred mean,pred majority,topic,entity_num_1,entity_num_2,label,pred_proba,key1,key2,doc_name_1,doc_name_2,sentence_num_1,sentence_num_2,mention 1,mention 2,sentence_text,pred,m1 pos,m1 entity types,m2 pos,m2 entity types,m1_has_PRON,m2_has_PRON,m1_has_PROPN,m2_has_PROPN,m1_is_PRON,m1_is_PROPN,m1_is_NOM,m2_is_PRON,m2_is_PROPN,m2_is_NOM
0,0,0,35,0,1,0,0.0035126965958625,35_0,35_1,35_10ecb.xml,35_10ecb.xml,0,1,Jackson,earlier this week,"[""Chargers' Jackson arrested on suspicion of DUI "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,['PROPN'],['PERSON'],"['ADV', 'DET', 'NOUN']","['DATE', 'DATE', 'DATE']",0,0,1,0,0,1,0,0,0,1
1,0,0,35,0,2,1,0.0497319139540195,35_0,35_2,35_10ecb.xml,35_10ecb.xml,0,1,Jackson,he,"[""Chargers' Jackson arrested on suspicion of DUI "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,['PROPN'],['PERSON'],"['PRON', 'PRON']",[''],0,1,1,0,0,1,0,1,0,0
0,0,0,35,1,2,0,0.0013627405278384,35_1,35_2,35_10ecb.xml,35_10ecb.xml,1,1,earlier this week,he,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,"['ADV', 'DET', 'NOUN']","['DATE', 'DATE', 'DATE']","['PRON', 'PRON']",[''],0,1,0,0,0,0,1,1,0,0
0,0,0,35,0,3,0,0.0296163205057382,35_0,35_3,35_10ecb.xml,35_10ecb.xml,0,1,Jackson,Chargers,"[""Chargers' Jackson arrested on suspicion of DUI "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,['PROPN'],['PERSON'],['NOUN'],['ORG'],0,0,1,0,0,1,0,0,0,1
0,0,0,35,1,3,0,0.0023648568894714,35_1,35_3,35_10ecb.xml,35_10ecb.xml,1,1,earlier this week,Chargers,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,"['ADV', 'DET', 'NOUN']","['DATE', 'DATE', 'DATE']",['NOUN'],['ORG'],0,0,0,0,0,0,1,0,0,1
0,0,0,35,2,3,0,0.0022139647044241,35_2,35_3,35_10ecb.xml,35_10ecb.xml,1,1,he,Chargers,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,"['PRON', 'PRON']",[''],['NOUN'],['ORG'],1,0,0,0,1,0,0,0,0,1
0,0,0,35,0,4,0,0.0023425538092851,35_0,35_4,35_10ecb.xml,35_10ecb.xml,0,1,Jackson,offense,"[""Chargers' Jackson arrested on suspicion of DUI "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,['PROPN'],['PERSON'],['NOUN'],[''],0,0,1,0,0,1,0,0,0,1
0,0,0,35,1,4,0,0.0005796783370897,35_1,35_4,35_10ecb.xml,35_10ecb.xml,1,1,earlier this week,offense,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,"['ADV', 'DET', 'NOUN']","['DATE', 'DATE', 'DATE']",['NOUN'],[''],0,0,0,0,0,0,1,0,0,1
0,0,0,35,2,4,0,0.0009862333536148,35_2,35_4,35_10ecb.xml,35_10ecb.xml,1,1,he,offense,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,"['PRON', 'PRON']",[''],['NOUN'],[''],1,0,0,0,1,0,0,0,0,1
0,0,0,35,3,4,0,0.0020412246230989,35_3,35_4,35_10ecb.xml,35_10ecb.xml,1,1,Chargers,offense,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", "" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. ""]",0,['NOUN'],['ORG'],['NOUN'],[''],0,0,0,0,0,0,1,0,0,1
0,0,0,35,1,5,0,0.000916207616683,35_1,35_5,35_10ecb.xml,35_10ecb.xml,1,2,earlier this week,10News,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", ' 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ']",0,"['ADV', 'DET', 'NOUN']","['DATE', 'DATE', 'DATE']",['PROPN'],['ORG'],0,0,0,1,0,0,1,0,1,0
0,0,0,35,2,5,0,0.0024267535191029,35_2,35_5,35_10ecb.xml,35_10ecb.xml,1,2,he,10News,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", ' 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ']",0,"['PRON', 'PRON']",[''],['PROPN'],['ORG'],1,0,0,1,1,0,0,0,1,0
0,0,0,35,3,5,0,0.0043124188669025,35_3,35_5,35_10ecb.xml,35_10ecb.xml,1,2,Chargers,10News,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", ' 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ']",0,['NOUN'],['ORG'],['PROPN'],['ORG'],0,0,0,1,0,0,1,0,1,0
0,0,0,35,4,5,0,0.0002004634734475,35_4,35_5,35_10ecb.xml,35_10ecb.xml,1,2,offense,10News,"["" But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers' offense. "", ' 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ']",0,['NOUN'],[''],['PROPN'],['ORG'],0,0,0,1,0,0,1,0,1,0
